"","age_exact","Mspline","Sspline"
"1",6,0.0176065615658558,-7.10568348027962e-06
"2",6.25,0.0754027325333411,-6.37093210364981e-06
"3",6.5,0.130462761034316,-5.66529754397749e-06
"4",6.75,0.177255815762841,-4.9902305110372e-06
"5",7,0.210929827457456,-4.34730988496668e-06
"6",7.25,0.229465520933399,-3.73668192055199e-06
"7",7.5,0.232073223623466,-3.15843780929193e-06
"8",7.75,0.22093071050967,-2.61311137172981e-06
"9",8,0.199207779390161,-2.10123906740911e-06
"10",8.25,0.169598971873715,-1.62306019646508e-06
"11",8.5,0.134387639535365,-1.17857662895737e-06
"12",8.75,0.0955109896342456,-7.67603410611883e-07
"13",9,0.0549941381539227,-3.9008862229295e-07
"14",9.25,0.0158560747870062,-4.70199525981485e-08
"15",9.5,-0.0199460139208121,2.60895858472665e-07
"16",9.75,-0.0507360948973101,5.3320889681352e-07
"17",10,-0.0753137871214662,7.69754473717299e-07
"18",10.25,-0.0938813967836296,9.70913988540545e-07
"19",10.5,-0.107072121401568,1.13729162776188e-06
"20",10.75,-0.115454579373523,1.26954150103664e-06
"21",11,-0.119550712385593,1.36828436470005e-06
"22",11.25,-0.119624173169115,1.43545606046125e-06
"23",11.5,-0.115686031050604,1.47429960040135e-06
"24",11.75,-0.107690819539528,1.4881686842827e-06
"25",12,-0.0956158302333066,1.48005563604947e-06
"26",12.25,-0.0794550079240217,1.45265023032692e-06
"27",12.5,-0.0595853116503591,1.40832437578453e-06
"28",12.75,-0.0374067844864108,1.34906163107296e-06
"29",13,-0.0143554167143058,1.27663220683694e-06
"30",13.25,0.00828993755736818,1.19264368980687e-06
"31",13.5,0.0293903348125468,1.09855753738231e-06
"32",13.75,0.0479404608207474,9.95695456751378e-07
"33",14,0.0634043432118716,8.8492641547866e-07
"34",14.25,0.0758283319960036,7.6656165903799e-07
"35",14.5,0.0853014530775233,6.40859392442295e-07
"36",14.75,0.0919095687358009,5.08067167004356e-07
"37",15,0.0957386889455769,3.68432182540346e-07
"38",15.25,0.0968604011365635,2.22155551732328e-07
"39",15.5,0.0953976213914025,6.95995743260625e-08
"40",15.75,0.0916586220003879,-8.82899202636622e-08
"41",16,0.085971336185942,-2.50505441057314e-07
"42",16.25,0.0786478309877232,-4.16089657395702e-07
"43",16.5,0.069976024047353,-5.84161396366412e-07
"44",16.75,0.0602180120064801,-7.5392080445269e-07
"45",17,0.0496144881643232,-9.24635515486827e-07
"46",17.25,0.0383796523549691,-1.0956468510237e-06
"47",17.5,0.0266407932058215,-1.26648634046767e-06
"48",17.75,0.014477352649525,-1.43679792641294e-06
"49",18,0.00196312020158018,-1.60625454403984e-06
